name,quantity,notes,final_price,original_price,discount,url
"Indofil Z-78 Zineb 75% WP, An Unique Broad Spectrum Fungicides with Zinc Nutrition.",500.00 gm,500 Gm x 1 Qty,434,530,96,https://agribegri.com/products/buy-indofil-z-78-zineb-75-wp-fungicides-agribegri-online-agro-store.php
"Tata Rallis Bahaar, An Effective Plant Growth Promoter, Suitable For Foliar Spray In All Crops",250.00 ml,250 ML x 1 Qty,214,330,116,https://agribegri.com/products/buy-tata-rallis-bahaar-plant-growth-promoter.php
GACIL Rose Special Organic Liquid Micronutrient Fertilizer For Faster Growth.,500.00 ml,250 ML x 2 Qty,1108,1398,290,https://agribegri.com/products/gacil-rose-special-organic-liquid-micronutrient-fertilizer.php
"FMC Benevia Cyantraniliprole 10.26%, An anthranilic diamide insecticide ,action on several sucking and chewing insects.",90.00 ml,90 ML x 1 Qty,835,1075,240,https://agribegri.com/products/buy-fmc-dupont-benevia-cyantraniliprole-1026.php
"Crystal Kyoto Azoxystrobin 11% + Tebuconazole 18.3% Sc Fungicide, Control On Multiple Stages Of Fungal Infection",500.00 ml,500 ML x 1 Qty,745,1800,1055,https://agribegri.com/products/buy-crystal-kyoto-azoxystrobin-11--tebuconazole-183-fungicide-online.php
"Agroveer All Fruits Booster, Contains Gibberellic Acid, Amino Acid And Other Micronutrients, ICAR Approved.",1.00 liter,1 Ltr x 1 Qty,519,649,130,https://agribegri.com/products/sethu-agroveer-all-fruits-booster-plant-growth-promoter-products.php
"All Vegetable Booster, Liquid Plant Growth Promoter, Contains Gibberellic Acid, Amino Acids, Cytokinins.",1.00 liter,1 Ltr x 1 Qty,469,499,30,https://agribegri.com/products/all-vegetable-booster-liquid-plant-growth-prmoter.php
"Earth Innovation Ultrasonic Rat and Rodent Pest Repellent Device for Rat, Rodent, Mouse, Squirrel. Can be Use for Home, Office, Kitchen, Store Room",1.00 unit,F1-EI86HC1500 SQ Ft,3307,6999,3692,https://agribegri.com/products/buy-earth-innovation-ultrasonic-rat-and-rodent-pest-repeller-online.php
Bayer Egnitus Cyclanilide 2.10% + Mepiquat Chloride 8.40% SC Plant Growth Promoter,250.00 ml,250 ML x 1 Qty,813,1300,487,https://agribegri.com/products/buy-bayer-egnitus-plant-growth-promoter-from-agribegri.php
"Sulphur Mills Fertis 90% WDG Sulphur Powder, Improves the Soil Health, Increase Oil Content In Oil Seed Crops",3.00 kg,3 Kg x 1 Qty,505,664,159,https://agribegri.com/products/buy-sulphur-mills-fertis-90-wdg-sulphur-powder-3-kg.php
"Sakha Heavy Duty Hand Weeder, Manual Weeder for Fast and Easy Weeding and Grass Removal",1.00 qty,9 InchWithout Pipe,495,699,204,https://agribegri.com/products/buy-heavy-duty-hand-weeder-online.php
"IFFCO Nano Urea Liquid Fertilizer, Reducing The Loss Of Nutrients From Agriculture Fields In The Form Of Leaching And Gaseous Emissions",2.00 liter,500 ML x 4 Qty,484,900,416,https://agribegri.com/products/buy-iffco-nano-urea-liquid-fertilizer-online.php
"Balwaan BP 700 4 Stroke Power Weeder, Used for Weeding in All Types of Agriculture Crops And Gardens",1.00 qty,,48140,91000,42860,https://agribegri.com/products/buy-balwaan-bp-700-4-stroke-power-weeder-used-for-weeding-in-all-types-of-agriculture-crops-and-gardens.php
